,ligand,ligand_type,preprogene,synthesis,transport,reuptake,excluded,comment
163,TGFα,peptide,['Tgfa'],,,,,inferred from Human
164,TGFβ1,peptide,['Tgfb1'],,,,,inferred from Human
165,TGFβ2,peptide,['Tgfb2'],,,,,inferred from Human
166,TGFβ3,peptide,['Tgfb3'],,,,,inferred from Human
167,TIP39,peptide,['Pth2'],,,,,inferred from Mouse
168,TL1A,peptide,['Tnfsf15'],,,,,inferred from Human
169,TL6,peptide,['Tnfsf18'],,,,,inferred from Human
170,TRAIL,peptide,['Tnfsf10'],,,,,inferred from Human
171,TRH,peptide,['Trh'],,,,,inferred from Mouse
172,TWEAK,peptide,['Tnfsf12'],,,,,inferred from Human
173,VEGFA,peptide,['Vegfa'],,,,,inferred from Human
174,VEGFB,peptide,['Vegfb'],,,,,inferred from Human
175,VEGFC,peptide,['Vegfc'],,,,,inferred from Human
176,VEGFD,peptide,['Vegfd'],,,,,inferred from Human
177,VEGFE,peptide,['Pdgfc'],,,,,inferred from Human
178,VIP,peptide,['Vip'],,,,,inferred from Mouse
179,Wnt-3a,peptide,['Wnt3a'],,,,,inferred from Human
180,Wnt-4,peptide,['Wnt4'],,,,,inferred from Human
181,Wnt-5a,peptide,['Wnt5a'],,,,,inferred from Human
182,XCL1,peptide,['Xcl1'],,,,,inferred from Human
183,XCL2,peptide,['Xcl1'],,,,,inferred from Human
184,[Leu]enkephalin,peptide,['Penk'],,,,,inferred from Mouse
185,[Met]enkephalin,peptide,['Penk'],,,,,inferred from Mouse
186,[Pyr1]apelin-13,peptide,['Apln'],,,,,inferred from Mouse
187,[des-Arg10]kallidin,peptide,"['Kng1', 'Kng2']",,,,,inferred from Human
188,[des-Arg9]bradykinin,peptide,['Kng1'],,,,,inferred from Mouse
189,[des-octanoyl]ghrelin,peptide,['Ghrl'],,,,,inferred from Human
190,activin A,peptide,['Inhba'],,,,,inferred from Human
191,activin B,peptide,['Inhbb'],,,,,inferred from Human
192,adrenomedullin,peptide,['Adm'],,,,,inferred from Rat
193,adrenomedullin 2/intermedin,peptide,['Adm2'],,,,,inferred from Human
194,adropin,peptide,['Enho'],,,,,inferred from Human
195,agouti,peptide,['a'],,,,,inferred from Mouse
196,agouti-related protein,peptide,['Agrp'],,,,,inferred from Human
197,alarin,peptide,['Galp'],,,,,inferred from Rat
198,amphiregulin,peptide,['Areg'],,,,,inferred from Human
199,amylin,peptide,['Iapp'],,,,,inferred from Mouse
200,amyloid β,peptide,['App'],,,,,inferred from Human
201,angiopoietin-1,peptide,['Angpt1'],,,,,inferred from Human
202,angiopoietin-4,peptide,['Angpt4'],,,,,inferred from Human
203,angiotensin A,peptide,['Agt'],,,,,inferred from Human
204,angiotensin II,peptide,['Agt'],,,,,inferred from Mouse
205,angiotensin III,peptide,['Agt'],,,,,inferred from Mouse
206,angiotensin IV,peptide,['Agt'],,,,,inferred from Mouse
207,angiotensin-(1-7),peptide,['Agt'],,,,,inferred from Mouse
208,annexin I,peptide,['Anxa1'],,,,,inferred from Human
209,annexin I-(2-26),peptide,['Anxa1'],,,,,inferred from Human
210,apelin-13,peptide,['Apln'],,,,,inferred from Mouse
211,apelin-17,peptide,['Apln'],,,,,inferred from Mouse
212,apelin-36,peptide,['Apln'],,,,,inferred from Human
213,aprotinin,peptide,['Apln'],,,,,inferred from Human
214,atrial natriuretic peptide,peptide,['Nppa'],,,,,inferred from Human
215,betacellulin,peptide,['Btc'],,,,,inferred from Human
216,bovine adrenal medulla peptide 8-22,peptide,['Penk'],,,,,inferred from Human
217,bradykinin,peptide,['Kng1'],,,,,inferred from Mouse
218,brain natriuretic peptide,peptide,['Nppb'],,,,,inferred from Human
219,calcitonin,peptide,['Calca'],,,,,inferred from Human
220,cardiotrophin-1,peptide,['Ctf1'],,,,,inferred from Human
221,chemerin,peptide,['Rarres2'],,,,,inferred from Human
222,chorionic somatomammotropin hormone-like 1 ,peptide,['Gh'],,,,,inferred from Human
223,ciliary neurotrophic factor,peptide,['Cntf'],,,,,inferred from Human
224,corticotrophin-releasing hormone,peptide,['Crh'],,,,,inferred from Mouse
225,corticotropin-releasing factor,peptide,['Crh'],,,,,inferred from Mouse
226,cortistatin-14,peptide,['Cort'],,,,,inferred from Mouse
227,cytokine domain of tyrosyl tRNA synthetase,peptide,['Yars'],,,,,inferred from Human
228,des-Br-neuropeptide B-23,peptide,['Npb'],,,,,inferred from Human
229,des-Br-neuropeptide B-29,peptide,['Npb'],,,,,inferred from Human
230,desulfated gastrin-14,peptide,['Gast'],,,,,inferred from Human
