,ligand,ligand_type,preprogene,synthesis,transport,reuptake,excluded,comment
168,PHI,peptide,"['P', 'c', 's', 'k', '1', 'n']",,,,,inferred from Mouse
169,PHM,peptide,['Vip'],,,,,inferred from Human
170,PHV,peptide,['Vip'],,,,,inferred from Rat
171,PTHrP,peptide,['Pthlh'],,,,,inferred from Human
172,PTHrP-(1-36),peptide,['Pthlh'],,,,,inferred from Human
173,PYY-(3-36),peptide,"['P', 'y', 'y']",,,,,inferred from Mouse
174,PrRP-20,peptide,['Prlh'],,,,,inferred from Rat
175,PrRP-31,peptide,['Prlh'],,,,,inferred from Rat
176,QRFP26,peptide,"['Q', 'r', 'f', 'p']",,,,,inferred from Mouse
177,QRFP43,peptide,"['Q', 'r', 'f', 'p']",,,,,inferred from Mouse
178,R-spondin-1,peptide,"['R', 's', 'p', 'o', '1']",,,,,inferred from Mouse
179,R-spondin-2,peptide,"['R', 's', 'p', 'o', '2']",,,,,inferred from Mouse
180,R-spondin-3,peptide,"['R', 's', 'p', 'o', '3']",,,,,inferred from Mouse
181,R-spondin-4,peptide,"['R', 's', 'p', 'o', '4']",,,,,inferred from Mouse
182,RANK ligand,peptide,['Tnfsf11'],,,,,inferred from Human
183,RFRP-3,peptide,['Npvf'],,,,,inferred from Human
184,SRIF-14,peptide,"['S', 's', 't']",,,,,inferred from Mouse
185,SRIF-28,peptide,"['S', 's', 't']",,,,,inferred from Mouse
186,T-kinin,peptide,"['Kng1', 'Kng2']",,,,,inferred from Rat
187,TGFα,peptide,['Tgfa'],,,,,inferred from Human
188,TGFβ1,peptide,['Tgfb1'],,,,,inferred from Human
189,TGFβ2,peptide,['Tgfb2'],,,,,inferred from Human
190,TGFβ3,peptide,['Tgfb3'],,,,,inferred from Human
191,TIP39,peptide,"['P', 't', 'h', '2']",,,,,inferred from Mouse
192,TL1A,peptide,['Tnfsf15'],,,,,inferred from Human
193,TL6,peptide,['Tnfsf18'],,,,,inferred from Human
194,TRAIL,peptide,['Tnfsf10'],,,,,inferred from Human
195,TRH,peptide,"['T', 'r', 'h']",,,,,inferred from Mouse
197,TWEAK,peptide,['Tnfsf12'],,,,,inferred from Human
198,VEGFA,peptide,['Vegfa'],,,,,inferred from Human
199,VEGFB,peptide,['Vegfb'],,,,,inferred from Human
200,VEGFC,peptide,['Vegfc'],,,,,inferred from Human
201,VEGFD,peptide,['Vegfd'],,,,,inferred from Human
202,VEGFE,peptide,['Pdgfc'],,,,,inferred from Human
203,VIP,peptide,"['V', 'i', 'p']",,,,,inferred from Mouse
204,Wnt-3a,peptide,['Wnt3a'],,,,,inferred from Human
205,Wnt-4,peptide,['Wnt4'],,,,,inferred from Human
206,Wnt-5a,peptide,['Wnt5a'],,,,,inferred from Human
207,XCL1,peptide,['Xcl1'],,,,,inferred from Human
208,XCL2,peptide,['Xcl1'],,,,,inferred from Human
209,[Leu]enkephalin,peptide,"['P', 'e', 'n', 'k']",,,,,inferred from Mouse
210,[Met]enkephalin,peptide,"['P', 'e', 'n', 'k']",,,,,inferred from Mouse
211,[Pyr1]apelin-13,peptide,"['A', 'p', 'l', 'n']",,,,,inferred from Mouse
212,[des-Arg10]kallidin,peptide,"['Kng1', 'Kng2']",,,,,inferred from Human
213,[des-Arg9]bradykinin,peptide,"['K', 'n', 'g', '1']",,,,,inferred from Mouse
214,[des-octanoyl]ghrelin,peptide,['Ghrl'],,,,,inferred from Human
215,activin A,peptide,['Inhba'],,,,,inferred from Human
217,activin B,peptide,['Inhbb'],,,,,inferred from Human
218,adrenomedullin,peptide,['Adm'],,,,,inferred from Rat
219,adrenomedullin 2/intermedin,peptide,['Adm2'],,,,,inferred from Human
220,adropin,peptide,['Enho'],,,,,inferred from Human
221,agouti,peptide,['a'],,,,,inferred from Mouse
222,agouti-related protein,peptide,['Agrp'],,,,,inferred from Human
223,alarin,peptide,['Galp'],,,,,inferred from Rat
224,amphiregulin,peptide,['Areg'],,,,,inferred from Human
225,amylin,peptide,"['I', 'a', 'p', 'p']",,,,,inferred from Mouse
226,amyloid β,peptide,['App'],,,,,inferred from Human
227,angiopoietin-1,peptide,['Angpt1'],,,,,inferred from Human
228,angiopoietin-4,peptide,['Angpt4'],,,,,inferred from Human
229,angiotensin A,peptide,['Agt'],,,,,inferred from Human
230,angiotensin II,peptide,"['A', 'g', 't']",,,,,inferred from Mouse
231,angiotensin III,peptide,"['A', 'g', 't']",,,,,inferred from Mouse
232,angiotensin IV,peptide,"['A', 'g', 't']",,,,,inferred from Mouse
233,angiotensin-(1-7),peptide,"['A', 'g', 't']",,,,,inferred from Mouse
234,annexin I,peptide,['Anxa1'],,,,,inferred from Human
235,annexin I-(2-26),peptide,['Anxa1'],,,,,inferred from Human
237,apelin-13,peptide,"['A', 'p', 'l', 'n']",,,,,inferred from Mouse
238,apelin-17,peptide,"['A', 'p', 'l', 'n']",,,,,inferred from Mouse
239,apelin-36,peptide,['Apln'],,,,,inferred from Human
240,aprotinin,peptide,['Apln'],,,,,inferred from Human
241,atrial natriuretic peptide,peptide,['Nppa'],,,,,inferred from Human
243,betacellulin,peptide,['Btc'],,,,,inferred from Human
244,bovine adrenal medulla peptide 8-22,peptide,['Penk'],,,,,inferred from Human
245,bradykinin,peptide,"['K', 'n', 'g', '1']",,,,,inferred from Mouse
246,brain natriuretic peptide,peptide,['Nppb'],,,,,inferred from Human
247,calcitonin,peptide,['Calca'],,,,,inferred from Human
249,cardiotrophin-1,peptide,['Ctf1'],,,,,inferred from Human
250,chemerin,peptide,['Rarres2'],,,,,inferred from Human
252,chorionic somatomammotropin hormone-like 1 ,peptide,['Gh'],,,,,inferred from Human
253,ciliary neurotrophic factor,peptide,['Cntf'],,,,,inferred from Human
254,corticotrophin-releasing hormone,peptide,"['C', 'r', 'h']",,,,,inferred from Mouse
255,corticotropin-releasing factor,peptide,"['C', 'r', 'h']",,,,,inferred from Mouse
256,cortistatin-14,peptide,"['C', 'o', 'r', 't']",,,,,inferred from Mouse
257,cytokine domain of tyrosyl tRNA synthetase,peptide,['Yars'],,,,,inferred from Human
258,des-Br-neuropeptide B-23,peptide,['Npb'],,,,,inferred from Human
259,des-Br-neuropeptide B-29,peptide,['Npb'],,,,,inferred from Human
260,desulfated gastrin-14,peptide,['Gast'],,,,,inferred from Human
261,desulfated gastrin-17,peptide,['Gast'],,,,,inferred from Human
262,desulfated gastrin-34,peptide,['Gast'],,,,,inferred from Human
263,desulfated gastrin-71,peptide,['Gast'],,,,,inferred from Human
264,dynorphin A,peptide,"['P', 'd', 'y', 'n']",,,,,inferred from Mouse
265,dynorphin A-(1-13),peptide,"['P', 'd', 'y', 'n']",,,,,inferred from Mouse
266,dynorphin A-(1-8),peptide,"['P', 'd', 'y', 'n']",,,,,inferred from Mouse
267,dynorphin B,peptide,"['P', 'd', 'y', 'n']",,,,,inferred from Mouse
268,ectodysplasin A1,peptide,['Eda'],,,,,inferred from Human
269,ectodysplasin A2,peptide,['Eda'],,,,,inferred from Human
270,endothelin-1,peptide,"['E', 'd', 'n', '1']",,,,,inferred from Mouse
271,endothelin-2,peptide,['Edn2'],,,,,inferred from Human
272,endothelin-3,peptide,"['E', 'd', 'n', '3']",,,,,inferred from Mouse
273,epigen,peptide,['Epgn'],,,,,inferred from Human
274,epiregulin,peptide,['Ereg'],,,,,inferred from Human
275,erythropoietin,peptide,['Epo'],,,,,inferred from Human
276,galanin,peptide,"['G', 'a', 'l']",,,,,inferred from Mouse
277,galanin-like peptide,peptide,['Galp'],,,,,inferred from Rat
278,gastric inhibitory polypeptide,peptide,['Gip'],,,,,inferred from Rat
279,gastrin-14,peptide,['Gast'],,,,,inferred from Human
280,gastrin-17,peptide,['Gast'],,,,,inferred from Human
281,gastrin-34,peptide,['Gast'],,,,,inferred from Human
282,gastrin-71,peptide,['Gast'],,,,,inferred from Human
283,gastrin-releasing peptide,peptide,"['Grp', 'Ucma']",,,,,inferred from Human
284,ghrelin,peptide,['Ghrl'],,,,,inferred from Human
285,glucagon,peptide,"['G', 'c', 'g']",,,,,inferred from Mouse
286,glucagon-like peptide 1-(7-36) amide,peptide,"['G', 'c', 'g']",,,,,inferred from Mouse
287,glucagon-like peptide 1-(7-37),peptide,"['G', 'c', 'g']",,,,,inferred from Mouse
288,glucagon-like peptide 2,peptide,['Gcg'],,,,,inferred from Rat
289,glucagon-like peptide 2-(2-33),peptide,['Gcg'],,,,,inferred from Rat
290,glucagon-like peptide 2-(3-33),peptide,['Gcg'],,,,,inferred from Rat
291,growth arrest specific protein 6,peptide,['Gas6'],,,,,inferred from Human
292,growth differentiation factor 15,peptide,['Gdf15'],,,,,inferred from Human
293,growth hormone 1,peptide,['Gh'],,,,,inferred from Human
294,growth hormone 2,peptide,['Gh'],,,,,inferred from Human
295,growth/differentiation factor-1,peptide,"['Cers1', 'Gdf1']",,,,,inferred from Human
296,growth/differentiation factor-10,peptide,['Gdf10'],,,,,inferred from Human
297,growth/differentiation factor-3,peptide,['Gdf3'],,,,,inferred from Human
298,growth/differentiation factor-7,peptide,['Gdf7'],,,,,inferred from Human
299,growth/differentiation factor-9,peptide,['Gdf9'],,,,,inferred from Human
300,guanylin,peptide,['Guca2a'],,,,,inferred from Human
302,hemokinin 1,peptide,"['T', 'a', 'c', '4']",,,,,inferred from Mouse
303,hepatocyte growth factor,peptide,['Hgf'],,,,,inferred from Human
306,insulin,peptide,"['Ins2', 'Ins1']",,,,,inferred from Human
